"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 25 15:08:45 GMT 2023","Thu May 25 15:10:45 GMT 2023","119718","","Тестовый набор сценариев для категории «Малый бизнес и ИП»","","testSuites.SmallBusinessTests","smallBusinessTest","Проверка отображения выбранного тарифа при заполнении заявки на открытие счета","Проверяем, что при подборе рекомендованного тарифа, его название совпадает с названием, которое отображается при заполнении заявки на открытие счета"
"broken","Thu May 25 15:08:46 GMT 2023","Thu May 25 15:10:28 GMT 2023","101408","","Тестовый набор сценариев для категории «Блог»","","testSuites.BlogTests","blogMobileTest","Проверка параметров категории «Блог» [2] 2","Проверяем совпадение параметров (категорию, название, дату создания статьи и время чтения) статьи на странице с разными статьями и на странице выбранной статьи"
"broken","Thu May 25 15:08:52 GMT 2023","Thu May 25 15:10:22 GMT 2023","90304","","Тестовый набор сценариев для категории «Telegram»","","testSuites.TelegramTests","telegramButtonMobileTest","Проверка совпадения названия Telegram канала с тестовыми данными при нажатии на иконку мессенджера","Проверяем, что при нажатии на иконку «Telegram», на открывшейся странице отображается название, совпадающее с тестовыми данными"
"broken","Thu May 25 15:08:51 GMT 2023","Thu May 25 15:11:36 GMT 2023","164356","","Тестовый набор сценариев для категории «Кредиты»","","testSuites.CreditTests","creditMobileTest","Проверка совпадения параметров кредита на двух страницах","Проверяем совпадение параметров («Ежемесячный платеж» , «Ставка»  и «Сумма кредита») кредита на странице его расчета и на странице графика платежей"
"broken","Thu May 25 15:08:52 GMT 2023","Thu May 25 15:11:35 GMT 2023","163941","","Тестовый набор сценариев для категории «Блог»","","testSuites.BlogTests","blogMobileTest","Проверка параметров категории «Блог» [1] 1","Проверяем совпадение параметров (категорию, название, дату создания статьи и время чтения) статьи на странице с разными статьями и на странице выбранной статьи"
"broken","Thu May 25 15:08:51 GMT 2023","Thu May 25 15:11:36 GMT 2023","164149","","Тестовый набор сценариев для категории «Кредиты»","","testSuites.CreditTests","creditTest","Проверка совпадения параметров кредита на двух страницах","Проверяем совпадение параметров («Ежемесячный платеж» , «Ставка»  и «Сумма кредита») кредита на странице его расчета и на странице графика платежей"
"broken","Thu May 25 15:08:52 GMT 2023","Thu May 25 15:10:22 GMT 2023","90209","","Тестовый набор сценариев для категории «Telegram»","","testSuites.TelegramTests","subscribeTelegramMobileTest","Проверка совпадения названия Telegram канала с тестовыми данными","Проверяем, что при нажатии на постер «Telegram», на открывшейся странице отображается название, совпадающее с тестовыми данными"
"broken","Thu May 25 15:08:52 GMT 2023","Thu May 25 15:10:23 GMT 2023","90205","","Тестовый набор сценариев для категории «Telegram»","","testSuites.TelegramTests","telegramButtonTest","Проверка совпадения названия Telegram канала с тестовыми данными при нажатии на иконку мессенджера","Проверяем, что при нажатии на иконку «Telegram», на открывшейся странице отображается название, совпадающее с тестовыми данными"
"broken","Thu May 25 15:08:45 GMT 2023","Thu May 25 15:10:28 GMT 2023","102483","","Тестовый набор сценариев для категории «Telegram»","","testSuites.TelegramTests","subscribeTelegramTest","Проверка совпадения названия Telegram канала с тестовыми данными [1] 0","Проверяем, что при нажатии на постер «Telegram», на открывшейся странице отображается название, совпадающее с тестовыми данными"
"broken","Thu May 25 15:08:52 GMT 2023","Thu May 25 15:10:22 GMT 2023","90269","","Тестовый набор сценариев для категории «Премиум»","","testSuites.PremiumTests","premiumPartnerTest","Проверка совпадения названия компании-партнера на странице с перечнем компаний и в модальном окне [1] 1","Проверяем совпадение названия компании на странице с перечнем компаний и в модальном окне"
"broken","Thu May 25 15:10:28 GMT 2023","Thu May 25 15:12:38 GMT 2023","130055","","Тестовый набор сценариев для категории «Блог»","","testSuites.BlogTests","blogMobileTest","Проверка параметров категории «Блог» [3] 3","Проверяем совпадение параметров (категорию, название, дату создания статьи и время чтения) статьи на странице с разными статьями и на странице выбранной статьи"
"broken","Thu May 25 15:08:52 GMT 2023","Thu May 25 15:10:22 GMT 2023","90138","","Тестовый набор сценариев для категории «Премиум»","","testSuites.PremiumTests","premiumPartnerTest","Проверка совпадения названия компании-партнера на странице с перечнем компаний и в модальном окне [3] 3","Проверяем совпадение названия компании на странице с перечнем компаний и в модальном окне"
"broken","Thu May 25 15:08:52 GMT 2023","Thu May 25 15:10:22 GMT 2023","90294","","Тестовый набор сценариев для категории «Премиум»","","testSuites.PremiumTests","premiumPartnerMobileTest","Проверка совпадения названия компании-партнера на странице с перечнем компаний и в модальном окне [2] 2","Проверяем совпадение названия компании на странице с перечнем компаний и в модальном окне"
